,gun_name,gun_img,type,size,colors,price,description,ammo,availability
1,Rossberg Space Shotgun,Gun_Images\gun1.jpg,Shotgun,Medium,Black,4200 Space Dollars,"Can blast through anything…and anyone.",Buckshot,This product is available.
2,The Pluto Peashooter,Gun_Images\gun2.jpg,Pistol,Small,Blue,565 Space Dollars,"This slim little firearm can be hidden anywhere.",Laser Crystals,This product is available.
3,Rhimoon Cannon,Gun_Images\gun3.jpg,Pistol,Small,White,800 Space Dollars,"Small yet effiecient. Has a nasty kickback though.",Ice Crystals,This product is not available.
4,Space Cadet Blaster,Gun_Images\gun4.jpg,Pistol,Small,Red,100 Space Dollars,"What it lacks in size it makes up in…actually nevermind, this gun is cheap for a reason.",Pellets,This product is available.
5,The Hotshot 2000,Gun_Images\gun5.jpg,Pistol,Small,Silver,999 Space Dollars,"Sure to ""light"" up any party, heh heh heh.",Laser Crystals,This product is not available.
6,The Magna-Rifle 4.0,Gun_Images\gun6.jpg,Rifle,Medium,Black,1500 Space Dollars,"The ammo magazine actually works like a second barrel. Neat!",Photon Chargers,This product is available.
7,The Emmisary,Gun_Images\gun7.jpg,Rifle,Medium,Silver,1800 Space Dollars,"A gun perfect for atomizing your foes, leaving no evidence behind.",Plasma Pods,This product is available.
8,AstroBlaster,Gun_Images\gun8.jpg,Rifle,Medium,Silver,4000 Space Dollars,"Your dream of shooting a laser from your hand can now come true!",Laser Crystals,This product is available.
9,The Charger,Gun_Images\gun9.jpg,Pistol,Small,Black,788 Space Dollars,"A pecuiliar gun. Holding the trigger actually charges up a powerful blast. Its effectiveness is questionable in a battle though.",Photon Chargers,This product is available.
10,Space Sixty-six Shooter,Gun_Images\gun10.jpg,Revolver,Small,Black,899 Space Dollars,"Used by Space Sheriffs all over the galaxy, this gun can be utilized by desperados as wells.",Revolver Bullets,This product is not available.
11,The False Wrench,Gun_Images\gun11.jpg,Other,Small,Yellow,550 Space Dollars,"Sneaky gun, this one. It looks like a space wrench at first, but little do your enemies know it can pack some heat.",Laser Crystals,This product is not available.
12,The Little Jimmy,Gun_Images\gun12.jpg,Pistol,Small,Red,300 Space Dollars,"A very basic gun really. Doesn't stand out that much.",Pistol Ammo,This product is available.
14,The Prism Pistol,Gun_Images\gun14.jpg,Pistol,Small,Gray,3000 Space Dollars,"Please note this gun is NOT intended for stabbing.",Laser Crystals,This product is available.
16,Space Marine Assault Rifle,Gun_Images\gun16.jpg,Rifle,Medium,Black,1500 Space Dollars,"A common weapon among the Space Army, favored for its effectiveness.",Laser Crystals,This product is available.
17,Spinning Vortexes,Gun_Images\gun17.jpg,Other,Medium,Gray,999 Space Dollars,"Ever wanted laser chainsaws for hands? If so, then you are fairly disturbed, but here it is.",Space Battery,This product is available.
18,Space Pistol,Gun_Images\gun18.jpg,Pistol,Small,Black,800 Space Dollars,"A solid choice for decent gun.",Pistol Ammo,This product is available.
19,Arm Cannon,Gun_Images\gun19.jpg,Other,Medium,Yellow,7000 Space Dollars,"You can arm yourself with this armed gun that adorns your arm!",Photon Chargers,This product is available.
20,Solar-Powered Gun,Gun_Images\gun20.jpg,Revolver,Small,Gray,2000 Space Dollars,"Evaporate your enemies with this eco-friendly gun.",The Sun(?),This product is available.
21,Laser Marker,Gun_Images\gun21.jpg,Other,Large,Green,6000 Space Dollars,"This turret can pierce even the strongest of metals.",Plasma Pods,This product is available.
22,Riot-Stopping Shotgun,Gun_Images\gun22.jpg,Shotgun,Large,Black,2999 Space Dollars,"Used by the elite Space Millitary.",Buckshot,This product is not available.
23,The Big Bang,Gun_Images\gun23.jpg,Pistol,Small,Green,899 Space Dollars,"With the kickback on this baby, be careful not to break your arm.",Pistol Ammo,This product is available.
24,The Sleek Shooter 4.0,Gun_Images\gun24.jpg,Rifle,Medium,Silver,1300 Space Dollars,"A gun that can change shape? Is that even viable?",Laser Crystals,This product is available.
25,Melter,Gun_Images\gun25.jpg,Rifle,Medium,Silver,800 Space Dollars,"This awesome gun is gonna turn up the heat for sure!",Plasma Pods,This product is available.
26,The Big Boy,Gun_Images\gun26.jpg,Machine Gun,Large,Black,9999 Space Dollars,"It costs 400,000 Space Dollars to fire this gun for 12 seconds.",Heavy Bullets,This product is available.
27,Pinky Pie,Gun_Images\gun27.jpg,Pistol,Small,Pink,400 Space Dollars,"Does not include Hello Kitty stickers to put on it.",Pistol Ammo,This product is available.
28,The Surgeon 99X,Gun_Images\gun28.jpg,Pistol,Small,Gray,1800 Space Dollars,"Used by officers to detain Space Criminals.",Plasma Pods,This product is available.
29,The Rustic Rampage,Gun_Images\gun29.jpg,Pistol,Small,Blue,300 Space Dollars,"Used more to look cool and scary rather than be effective at shooting.",Pistol Ammo,This product is available.
30,The HeadHunter Honcho,Gun_Images\gun30.jpg,Revolver,Small,Blue,2000 Space Dollars,"Despite its appearance, it actually uses Plasma Pods!",Plasma Pods,This product is not available.
31,Taurox Revolver,Gun_Images\gun31.jpg,Revolver,Small,Orange,1100 Space Dollars,"Bringing in the pain in style.",Revolver Bullets,This product is not available.
32,Powerhouse,Gun_Images\gun32.jpg,Revolver,Small,Pink,500 Space Dollars,"Bulky and chunky for a handgun, but can pierce the hardest of body armor.",Heavy Bullets,This product is not available.
33,Red Rocket,Gun_Images\gun33.jpg,Other,Medium,Orange,5000 Space Dollars,"Your own portable flamethrower! Set the world on fire!",Flamer Fuel,This product is not available.
34,Justice,Gun_Images\gun34.jpg,Pistol,Small,Silver,9999 Space Dollars,"Small, powerful, accurate, deadly, and versatile. You can become a one man army with this monster.",Heavy Bullets,This product is not available.
35,Space Engineers Buddy,Gun_Images\gun35.jpg,Revolver,Small,Black,800 Space Dollars,"When working on a space ships plumbing, sometimes you need protection from creatures lurking in the pipes.",Revolver Bullets,This product is not available.
36,The Tri,Gun_Images\gun36.jpg,Pistol,Small,Green,800 Space Dollars,"A weird looking gun, even by our standards.",Laser Crystals,This product is not available.
37,The Au Gun,Gun_Images\gun37.jpg,Pistol,Small,Black,1300 Space Dollars,"Commonly used for welding, it can also serve more dastardly purposes.",Laser Crystals,This product is not available.
